Spawn.Date,Sample_ID,Origin,Well.Num,Num.Eggs,Initials,Notes
20201007,ACR_241,Mahana,1,9,,
20201007,ACR_241,Mahana,2,8,,
20201007,ACR_241,Mahana,3,9,,
20201007,ACR_241,Mahana,4,10,,
20201007,ACR_241,Mahana,5,9,,
20201007,ACR_241,Mahana,6,10,,
20201007,ACR_241,Mahana,7,9,,
20201007,ACR_241,Mahana,8,8,,
20201007,ACR_241,Mahana,9,9,,
20201007,ACR_241,Mahana,10,7,,
20201007,ACR_241,Mahana,11,9,,
20201007,ACR_241,Mahana,12,10,,
20201007,ACR_241,Mahana,13,10,,
20201007,ACR_241,Mahana,14,5,,
20201007,ACR_241,Mahana,15,10,,
20201007,ACR_241,Mahana,16,9,,
20201007,ACR_241,Mahana,17,9,,
20201007,ACR_241,Mahana,18,10,,
20201007,ACR_241,Mahana,19,8,,
20201007,ACR_241,Mahana,20,11,,
20201007,ACR_241,Mahana,21,15,,
20201007,ACR_241,Mahana,22,9,,
20201007,ACR_241,Mahana,23,14,,
20201007,ACR_241,Mahana,24,8,,
